ሀ,ሀ,,ሀ /ha/ ስ/n. (በክስታንኛ ፊደል ገበታ ቀዳሚ ፊደል) the first letter of the Kistaninya alphabet  ,
ዥዋዥዌ,ዥዋዥዌ,swing ,ዥዋዥዌ /ž³wwaž³wwe/ ስ/n. (ዥዋዥዌ) swing ,
,ዥው ባሎ,,ዥው ባሎ /ž³ww balo/ ተመልከት see ተሚለጐ1 t«mill«go,
ተደናገረ,ዥው ባለቦት,lose head ,"ዥው ባለቦት /ž³ww bal«bot/ ግ/v. [ž³ww yiblëbot, ž³ww wob«l] (ጅው ኣለበት፣ተደናገረ) lose one's head ሰካራሚ ያለቦይ ቲሽል ዥው ባለቦም፡፡ (ሰካራሙ ያለበትን ኣያውቅም፤ጅው ብሎበታል፡፡) The drunkard has lost his head and doesn't know where he is.",
,ዥው ኣበሎ,,ዥው ኣበሎ /ž³ww ab«lo/ ተመልከት see ድረገሞ2 d³r«gg«mo ,
ደጋግሞ ጠጣ,ዥውዥው ባሎ,drink much successively ,"ዥው ዥው ባሎ /žëww žëww balo/ ግ/v. [ž³ww ž³ww yiblu, ž³ww ž³ww wob«l] (ደጋግሞ ጠጣ ወይም ጨለጠ) drink much successively ጡርባሎ ስከሪ ጫመንም ዥው ዥው ኣበለም ሰጮ፡፡ (ጡርባሎ ጠላው ጥሞት ደጋግሞ ጠጣ፡፡) Turballo drank off the tasty local beer successively.  ",
,ዥጉርጉር,,ዥጉርጉር /ž³gurgur/ ተመልከት see ዥንጉርጉር ž³ngurgur,
ኣራስ ቤት,ዥግሞ,childbed ,ዥግሞ / ž³gg³mo/ ስ/n. (ኣራስ ቤት) childbed ውልደኘ ምሽት ሰብነትኪ ዪጠና ዳር በዥግሞ ቲቅሲ፡፡ (ኣራስ ሴት ሰውነቷ እስኪጠና ድረስ ኣራስ ቤት ትሰነብታለች፡፡) A woman in childbed stays indoors till she regains her strength.,
,ዥግዥግ ባሎ ,burn,"ዥግዥግ ባሎ /ž³g³ž³g balo/ ግ/v. [ž³g³ž³g yiblu, ž³g³ž³g wob«l] (ተንቀለቀለ {ለእሳት}) burn (with bright flames) ኧሳቲ ዥግዥግ ባለም ነደዶ፡፡ (እሳቱ እየተንቀለቀለ ነደደ፡፡) The fire burned brightly.",
የ,የ,,"የ /y«/ ስ/n. (በክስታንኛ ፊደል ገበታ ከ ""ዠ"" ቀጥሎ የሚገኘው ፊደል) the name of the letter next to ""ž#"" of the Kistaninya alphabet",
የ,የ,possession,የ- /y«-/ (ኣብዛኛውን ጊዜ ባለቤትነትን የሚያመለክት ቅድመ ቃል ቅጥያ ምእላድ) a morpheme affixed to a word expressing mostly possession የገበቶ ኧላም ወለዶ፡፡ (የገበቶ ላም ወለደች፡፡) Gebeto's cow has calved.    ,
ዘላቂ,የመር,durable,"የመር /y«m#r/ ቅ/adj. (ዘላቂ፣ቋሚ) durable, long lasting የመር ዪኮን ግብር ዋጀሂ፡፡ (ቋሚ የሆነ እቃ ገዛሁ፡፡) I bought long-lasting material.  ",
ቋሚ,የመር,long lasting ,"የመር /y«m#r/ ቅ/adj. (ዘላቂ፣ቋሚ) durable, long lasting የመር ዪኮን ግብር ዋጀሂ፡፡ (ቋሚ የሆነ እቃ ገዛሁ፡፡) I bought long-lasting material.  ",
ደጆች,የሚዳ ሰብ ,hello outside  ,የሚዳ ሰብ /y«mida s«b/ ስ/n. (ደጆች) hello outside  ,
የማን,የማ,whose,የማ /y«ma/ ተ.ስ/pron. (የማን) whose ዚ የማ መጣፍን? (ይህ የማን መፅሀፍ ነው?) Whose book is this?,
ቅማያት,የሜት ሜት,great grand father ,የሜት ሜት /y#met met/ ስ/n. (ቅማያት፣ቅማት) great grand father ,
ለምን,የምን,why,የምን /y«m³n/ ተ.ግ/adv. (ለምን) why የምን መጣሃ? (ለምን መጣህ?) Why did you come? ,
,የምጣድ ኣምብል ,,የምጣድ ኣምብል /y«mët'ad ambël/ ስ/n. (ከተጠበሰ ጐመን ጋር የሚዘጋጅ ኣይብ) cottage cheese mixed with roasted greens  ,
,የሞጨ ኣራት,,የሞጨ ኣራት /ymoč# arat/ ተመልከት see ኣራት arat,
,የሰሞት ምላጭ,,የሰሞት ምላጭ /y«s«mmot m³lač'č'/  ስ/n. (የባሏን ሃዘን ስትጨርስ ለኣንዲት ሴት ከባሏ ድርሻ የሚሰጣት ከብት) cattle given to a widow when she terminates mourning of her dead husband ዘርጊ ትትከፈልጐይ ኪት ጐባብዝ የሰሞት ምላጭ ኣቧት፡፡ (ዘርጊ የቧሏን ሃዘን ስታበቃ ሁለት ጊደሮች ተሰጣት፡፡) Zergi was given two heifers after she finished her husband's mourning.,
የሰው ሃቅ,የሰብ ኣቅ,belongings ,የሰብ ኣቅ /y«s«b ak'k' ስ/n. (የሰው ሃቅ) s.o.'s possessions or belongings   ,
,የሰብ ኢን,,የሰብ ኢን /y«s«b in/ ተመልከት see ኢንናስ inënnas,
የሳት እራት,የሳት ኧርባት,moth,የሳት ኧርባት /y#sat #rbat/ ስ/n. (የሳት እራት) moth የሳት ኧርባት ተሳትይ ዪበርም ዪዎባው፡፡ (የሳት እራት በሮ  እሳት ውስጥ ይገባል፡፡) A moth flies into fire. ,
,የስርቆቸ,,(የ)ስርቆቸ1 /(y«)sërk'očč«/ ስ/n. (ለሙሽሪት ጓደኞች የሚደረግ የሰርግ ዋዜማ ድግስ {ሙሽሪት ቤት}) feast prepared on the eve of a bride's wedding to her peers (at her parent's house) ,
,የስርቆቸ,,(የ)ስርቆቸ2 /(y«)sërk'očč«/ ስ/n. (ለሙሽሪት በሰርጓ ዋዜማ የሚደረግ ስጦታ) wedding gift for the bride on the eve of her wedding ,
ኣረንጓዴ ኣረፋ,የቆለጨ ኣረፋ,green foam,የቆለጨ ኣረፋ /y«k'ol«č'« ar«fa/ ስ/n. (በረጋ ውሃ ላይ የሚንሳፈፍ ኣረንጓዴ ኣረፋ) green foam that floats on the surface of stagnant water   ,
የእርድ ከብት,የበሰሪየ ,reared for meat,የበሰሪየ /y«b«s«riy«/ ስ/n.  (የእርድ ከብት) cattle (reared for meat) ,
ጐመን በስጋ,የበሰር ኣምብል ,beef with greens ,የበሰር ኣምብል /y«b«s«r ambël/ ስ/n. (ጐመን በስጋ) beef with greens የበሰር ኣምብል ዪጨም መግብን፡፡ (ጐመን በስጋ ጣፋጭ ምግብ ነው፡፡) Beef with greens is a tasty food. ,
,የቡሱዋ ሸባል,,የቡሱዋ ሸባል /y«busuwa š«bal/ ተመልከት see ተምበከሳ t#mb#k#sa ,
ሃምሳ እግር,የባብ  ጊመ,centipede,"የባብ  ጊመ /y«bab gimm«/ ስ/n. (ሃምሳ እግር፣ቀይ ትል) centipede, brown long worm with many small legs  ",
ተመስገን,የትመስገን ,thanks be to God,"የትመስገን /y«tm«sg«n/ ቃ.ኣ/interj. (ተመስገን፣እግዚኣብሄር ይመስገን) thanks be to God, God be praised ",
የንስሃ ኣባት,የነብስ ኣቢ,confessor  ,የነብስ ኣቢ /y«n«bs abi/ ስ/n. (የንስሃ ኣባት) confessor  ,
የንብ ኣውራ,የንብ ዉር,queen bee,የንብ ዉር /y#n³b wur/ ስ/n. (የንብ ኣውራ) queen bee,
,የኪትጌ ,,የኪትጌ /y#kitt³ge/ ስ/n. (ሁለት ሚስቶች ያሉት ባል) he who has two wives (at the same time) ,
,የካ,,የካ /y«kka/ ተመልከት see ኤካ ekka     ,
የክት ልብስ,የክት ልባሽ,Sunday best  ,የክት ልባሽ /y«kkët lëbaš/ ስ/n. (የክት ልብስ) Sunday best  ,
የእሱ,የኳ,his,"የኳ /y«kwa/ ተ.ስ/pron., ቅ/adj.  (የእሱ) his የኳ ስም ገለቴን፡፡ (የእሱ ስም ገለቴ ነው፡፡) His name is Gelete.",
,የዉር ኧፋት,,የዉር ኧፋት /y«wur «fat/ ተመልከት see ጥምብል2 t'³mb³l,
ደካማ,የዲ ብጤ,weak,"የዲ ብጤ /y«di bët'e/ ቅ/adj.  (ደካማ {በኑሮ፣በኣስተሳሰብ}) weak, feeble-minded ",
,የገሚያ ገላ,,የገሚያ ገላ /y«g«mmiya g«la/ ተመልከት see ኣሰቦ2 ass#bo ,
የሴትወገን ተወላጅ,የገረድ ወልድ ,descendant of maternal lineage ,የገረድ ወልድ /y«g«r«d w«ld/ ስ/n. (የሴት ወገን ተወላጅ) descendant of maternal lineage ግራዝማች ኢቢዶ በሜልኮ ዘባ የገረድ ወልድን፡፡ (ግራዝማች ኢቢዶ ከሜልኮ ጐሳ የሴት ተወላጅ ናቸው፡፡) Girazmach Ibido is a descendant of Melko's maternal lineage.   ,
እሬት,የገደል ፉጋ ,aloe,የገደል ፉጋ /y#g#d#l fuga/ ስ/n. (እሬት) aloe የገደል ፉጋ ለኣታትቃይ መዳኒትነት ዪነንት ዪብሉትን፡፡ (እሬት ለኣንዳንድ ነገር መድሃኒትነት ኣለው ይባላል፡፡) The aloe is said to have medicinal values. ,
ውሳኔ ኣስከባሪ,የጉዳ ዳኛ,local executive,የጉዳ ዳኛ /y#gudda dañña/ ስ/n. (የሽምግልና ውሳኔ ኣስከባሪ) local executive of elders' decision ,
የጀርባ ኣጥንት,የጊንዠ ኣጥም,backbone,"የጊንዠ ኣጥም /y#ginž# at'$m/ ስ/n. (የጀርባ ኣጥንት፣ኣከርካሪ) backbone, spine የጊንዠ ኣጥም ሰብነት ዪዲግፉ፡፡ (የጀርባ ኣጥንት ሰውነትን ይደግፋል፡፡) The backbone supports the body. ",
ኣከርካሪ,የጊንዠ ኣጥም,spine,"የጊንዠ ኣጥም /y#ginž# at'$m/ ስ/n. (የጀርባ ኣጥንት፣ኣከርካሪ) backbone, spine የጊንዠ ኣጥም ሰብነት ዪዲግፉ፡፡ (የጀርባ ኣጥንት ሰውነትን ይደግፋል፡፡) The backbone supports the body. ",
ቤቶች,የጌ ሰብ,hello inside ,የጌ ሰብ /y«ge s«b/ ስ/n. (ቤቶች) hello inside ,
,የጌ በር,,የጌ በር /y#ge b#rr/ ተመልከት see ወጣፎ2 w#t'afo ,
ባለቤት,የጌ ኣቢ,husband,"የጌ ኣቢ /y#ge abi/ ስ/n. (ባለቤት፣ ኣባወራ፣ባል) husband, master of the house ",
ኣባወራ,የጌ ኣቢ,master of the house ,"የጌ ኣቢ /y#ge abi/ ስ/n. (ባለቤት፣ ኣባወራ፣ባል) husband, master of the house ",
ባል,የጌ ኣቢ,,"የጌ ኣቢ /y#ge abi/ ስ/n. (ባለቤት፣ ኣባወራ፣ባል) husband, master of the house ",
እማወራ,የጌ እሚት,wife ,የጌ እሚት /y#ge $mmit/ ስ/n. (እማወራ፣ሚስት) wife ,
,የጌ ያጭቦ,,የጌ ያጭቦ /yge yač'č'$bbo/ ተመልከት see ሎጊየ logiy#,
,የጐሽ ወልድ,,የጐሽ ወልድ /y«goš w«ld/ ተመልከት see ጐሽ1 goš ,
,የጫየ,,የጫየ /y#č'ay#/ ስ/n. (ከብት ኣርዶ መብላት ላልቻለ የሚሰጥ ስጋ {ከብት ከታረደበት ቤት}) meat given to a person who could not afford to have his own ,
,የፊቃቆ,,የፊቃቆ /y«fik'ak'o/ ተመልከት see ኣስትረ astër«,
የማርያም ፈረስ,የፉር ምሽት,cricket ,የፉር ምሽት /y#fur m³št/ ስ/n. (የማርያም ፈረስ) cricket የፉር ምሽት ካንፋኋን በዋፍጋፍግ ቀጭን ድንጥ ያዎጣው፡፡ (የማርያም ፈረስ ክንፎቹን በማፈጋፈግ ቀጭን ድምፅ ያወጣል፡፡) A cricket produces a high pitched sound by rubbing its wings. ,
መጠባበቂያ,የፍርድ ,reserve,"የፍርድ /y#f³rd/ ስ/n. (መጠባበቂያ {ቅቤ፣ቆጮ፣ገንዘብ ወዘተ.}) reserve (butter, #kussa, money, etc.)",
የኋሊት,የፎለ ፊና,backward ,የፎለ ፊና /y«fol« finna/ ተ.ግ/adv. (የኋሊት፣ከበስተኋላ በኩል) a backward direction የፎለ ፊና እላፈ ቲያማክል:: (የኋሊት መራመድ ኣይመችም::) Backward walking is not easy.,
እንካ,የኸ,here you are,"የኸ /y«h«/ ግ/v. (እንካ፣ያዝ፣ውሰድ) here you are ""የኸ ከሸትደ"" ባለቲ እሚት ለባይሂ፡፡ (""እንካ ምሳህን"" ኣለች እናት ለልጇ፡፡) ""Here is your lunch"" said the mother to her son. ",
ኣዎን,ዪ ,yes,"ዪ /yi/ ቃ.ኣ/interj., ስ/n.  (ኣዎን) yes ባዪ ""ኧፋት ያብከ"" ቢብሉ ""ዪ!"" ባሎ፡፡ (ልጁ ""ወተት ይሰጥህ"" ቢባል ""ኣዎን"" ኣለ፡፡) When the boy was asked if he wanted some milk, he said ""yes!""",
,ዪሊል ባሎ,,ዪሊል ባሎ /yilil balo/ ተመልከት see ኢሊል ባሎ illil balo  ,
,ዪሊልታ,,ዪሊልታ /yililta/ ተመልከት see ኢሊልታ ililta,
ከጃይ,ዪላሜ ,craves after,ዪላሜ /yillame/ ቅ/adj. (ከጃይ) one who craves after sth. ዪላሜ የሰብ ዋጋ ዪሾ፡፡ (ከጃይ የሰው ገንዘብ ይፈልጋል፡፡) A desirous person craves after others' money.,
,ዪላው ,,ዪላው /yillaw/ ተመልከት see ኢላው illaw ,
ኣብዛኛው,ዪልቀው,most of ,ዪልቀው /yilk'«w/ ቅ/adj. (ኣብዛኛው) most of ኧክሊ ዪልቀው ጢገሩም ቦራረ ዋጅቦት፡፡ (እህሉ ኣብዛኛው ተሸጦ በሬዎች ተገዛበት፡፡) Most of the grain was sold and has been used to buy oxen.,
ኣብዛኛውን ጊዜ,ዪልቀውጐይ,most of the time,ዪልቀውጐይ /yilk'«wgoy/ ተ.ግ/adv. (ኣብዛኛውን ጊዜ) most of the time ኳ ዪልቀውጐይ በዚትን፡፡ (እሱ ኣብዛኛውን ጊዜ እዚህ ነው፡፡) He is here most of the time. ,
,ዪልቅጐይ ,,"ዪልቅጐይ /yilk'ëgoy/ ተመልከት ""ዪልቀው"" ስር ""ዪልቀውጐይ"" see "" yilk'«wgoy""  under "" yilk'«w""",
ይበልጥ,ዪልቅ,greater than,ዪልቅ /yilk'/ ተ.ግ/adv.  (ይበልጥ፣ ይልቅ) greater than ተዚ ዪልቅ ኮለሊት ይነናት፡፡ (ከዚህ የሚበልጥ ማሰሮ ኣላት፡፡) She has a pot bigger than this one.,
ይልቅ,ዪልቅ,,ዪልቅ /yilk'/ ተ.ግ/adv.  (ይበልጥ፣ ይልቅ) greater than ተዚ ዪልቅ ኮለሊት ይነናት፡፡ (ከዚህ የሚበልጥ ማሰሮ ኣላት፡፡) She has a pot bigger than this one.,
ከግማሽ በላይ,ዪልቅኧኩል, more than half,ዪልቅኧኩል /yilk'#kkul/ ስ/n. (ከግማሽ በላይ) more than half ኧክሊ ዪልቅኧኩለው ዎቃንት፡፡ (የእህሉን ከግማሽ በላይ ወቃ፡፡) He threshed more than half of the grain.,
ንግግር,ዪልቢጢጦ,speech,"ዪልቢጢጦ /yilbit'it't'o/ ስ/n.,ቅ/adj. (ንግግር {ፊት ለፊት፣ግልፅ}) speech, talk (face to face, frank) ተዎትመማ ዪልቢጢጦ ኣዉራር ዪጮኙ፡፡ (ከመተማማት ፊት ለፊት መነጋገር ይሻላል፡፡) It would be better to talk face to face instead of gossiping about one another.  ",
,ዪልታሜ ባሎ,,ዪልታሜ ባሎ /yiltame balo/ ተመልከት see ኢልታሜ ባሎ iltame balo ,
,ዪመጦ ,,ዪመጦ /yimm#t'o/ ተመልከት see ኢመጦ imm#t'o,
,ዪምር,,ዪምር  /yimër/ ተመልከት see ጨበር č'«b«r ,
,ዪምር ዪምር ,,"ዪምር ዪምር /yimër yimër/ ስ/n. (የገና እለት ጥዋት ልጆች ወንፊት ጋርደውና ፊታቸውን ወደ ፀሃይ መልሰው ""እሰይ እሰይ ጌታ ተወለደልን"" በማለት የሚያሰሙት መዝሙር) Christmas morning carol sung by children looking at the sun through a sieve ተ.ገ/T.G  ",
,ዪምና,,ዪምና /yim³na/ ተመልከት see ኢምና im³na,
ኣሳቀፈ,ዪረዶ ,,"ዪረዶ /yirr«do/ ግ/v. [yirr³du, arr³d, warr³d] (ኣሳቀፈ {ለዶሮ}) have a hen brood (over eggs) ",
,ዪርቦ,,ዪርቦ /yirbo/ ተመልከት see ኢርቦ irbo,
ኣምባር,ዪርቦራ,bracelet ,ዪርቦራ /yirbora/ ስ/n. (ኣምባር {በቀድሞ ጊዜ ሹሞች ያደርጉት የነበረ}) bracelet (worn by officials in the olden days) ከ.ረ/K.R,
ኣሰበ,ዪሰቦ,think,"ዪሰቦ1 /yiss#bo/ ግ/v. [yissëbu, assëb, wassëb] (ኣሰበ) think ገለቴ ለንባሮተው ኬርቃይ ዪሰቦ፡፡ (ገለቴ ለህይወቱ መልካም ነገር ኣሰበ፡፡) Gelete thought good things about his livelihood.  ",
ኣሰላ,ዪሰቦ,compute,"ዪሰቦ2 /yiss#bo/ ግ/v. [yissëbu, assëb, wassëb] (ኣሰላ {ሂሳብ}) compute, calculate  ",
,ዪሰቦ,calculate  ,"ዪሰቦ2 /yiss#bo/ ግ/v. [yissëbu, assëb, wassëb] (ኣሰላ {ሂሳብ}) compute, calculate  ",
ዘገየ,ዪቀሶ,tardy,"ዪቀሶ1 /yik'k'«so/ ግ/v. [yik'k'ësu, ak'k'ës, wak'k'ës] (ዘገየ) be late, be tardy ኳ ታዪመጣ ዪቀሶ፡፡ (እሱ ሳይመጣ ዘገየ፡፡) He was late to come. ",
,ዪቀሶ,stay ,"ዪቀሶ2 /yik'k'«so/ ግ/v. [yik'k'ësu, ak'k'ës, wak'k'ës] (ቆየ፣ከረመ፣ ሰነበተ) stay ባዪ ኣገር ገባም ተሜቲያቸው ዪቀሶ፡፡ (ልጁ ገጠር ገብቶ ከኣያቶቹ ዘንድ ሰነበተ፡፡) The boy went to the countryside and stayed with his grand parents.",
ማባያ,ዪበለቦ,condiment,"ዪበለቦ /yib«l«bbo/ ስ/n. (ማባያ፣ መበያ) condiment ዪበለቦ በሌለ ግታሞ ይበሎት፡፡ (ማባያ ከሌለ ብቻውን ይበላል፡፡) If condiment is not available, one can eat without it. ",
ኣበበ,ዪበቦ,blossom  ,"ዪበቦ /yibb#bo/ ግ/v. [yib$bu, wab$b] (ኣበበ፣ኣበባ ኣወጣ) flower, blossom  ",
ቆለለ,ዪበቶ,heap up ,"ዪበቶ /yibb«to/ ግ/v. [yibbëtu, abbët, wabbët] (ቆለለ፣ከመረ) heap up ",
,ዪበደሪየ,,ዪበደሪየ /yib«d«riy«/ ስ/n. (የቆጮ መጠፍጠፊያ {ከወፍቾ የተሰራ}) a small mat made from dried «ss«t parts (used to flatten «kussa) ,
,ዪባራ,,ዪባራ /yibara/ ተመልከት see ኢባራ ibara,
,ዪባራ ፈጂ,,ዪባራ ፈጂ /yibara f«ğği/ ተመልከት see ኢባራ ፈጂ ibara f#ğği,
,ዪባጉራ,,ዪባጉራ /yibagurra/ ተመልከት see ኢባጉራ ibagurra,
ይልቁን,ዪብሲ, rather,"ዪብሲ /yibsi/ ተ.ግ/adv. (ይልቁን፣ እንዲያውም) rather on the contrary ኪቲ ዘማች ለዋታርቅ ቶናነም፣ዪብሲ ማለሲ ኣተከረኖ፡፡ (ሁለቱን ወንድማማቾች ለማስታረቅ ተሰይመን፣ይልቁን ትንሽየው ኣስቸገረን፡፡) In our effort to reconcile the two brothers, rather it was the younger one who was stubborn. ",
እንዲያውም,ዪብሲ, rather,"ዪብሲ /yibsi/ ተ.ግ/adv. (ይልቁን፣ እንዲያውም) rather on the contrary ኪቲ ዘማች ለዋታርቅ ቶናነም፣ዪብሲ ማለሲ ኣተከረኖ፡፡ (ሁለቱን ወንድማማቾች ለማስታረቅ ተሰይመን፣ይልቁን ትንሽየው ኣስቸገረን፡፡) In our effort to reconcile the two brothers, rather it was the younger one who was stubborn. ",
,ዪተኔ,,ዪተኔ /yitt«nne/  ተመልከት see ኢተኔ itt«nne,
,ዪቲ,,ዪቲ /yitti/ ተመልከት see ኢቲ itti,
,ዪታ,,ዪታ /yitta/ ተመልከት see ኢታ itta,
,ዪታት,,ዪታ(ት) /yitta(tt)/ ተመልከት see ኢታ(ት) itta(tt),
የትኛው,ዪታኒ ,which one ,ዪታኒ /yittani/ ተ.ስ/pron (የትኛው) which one ዪታኒ ቦራን የደኸኒ? (የትኛው ነው ያንተ በሬ?) which one is your ox?,
,ዪታዘር,,ዪታዘር /yittaz#r/  ተመልከት see ኢታዘር ittaz#r,
,ዪታይ,,ዪታይ /yittayy/  ተመልከት see ኢታይ ittayy,
,ዪቴሳ,,ዪቴሳ /yitessa/ ተመልከት see ኢቴሳ itessa,
,ዪነበላ,,ዪነበላ /yin«b«lla/ ተመልከት see ኢነደረቅ in#d#r#k' ,
,ዪነት ,,ዪነት /yin#t/ ተመልከት see ኢንናስ inënnas ,
,ዪነጨበር,,ዪነጨበር /yin#č'#b#r/ ተመልከት see ኢነጨበር in#č'#b#r,
,ዪን ,,ዪን /yin/ ተመልከት see ኢን in,
,ዪንቀፎ,,ዪንቀፎ /yink'#fo/ ተመልከት see ኢንቀፎ ink'#fo,
,ዪንቢን ,,ዪንቢን /yinbin/ ተመልከት see ኢንቢን inbin,
,ዪንናስ,,ዪንናስ /yinëinnas/ ተመልከት see ኢንናስ inënnas ,
,ዪንጨቤቶ ,,ዪንጨቤቶ /yinč'«beto/ ተመልከት see ቃላ k′ala,
,ዪኖ,,ዪኖ /yino/ ተመልከት see ኢኖ ino,
የእኛ,ዪኛ,our ,ዪኛ /yiñña/ ተ.ስ/pron. (የእኛ) our ዪኛ ጌ (የእኛ ቤት) our house ,
ቀረፀ,ዪከሎ,carved,"ዪከሎ /yikk#lo/ ግ/v. [yikk³lu, akk³l, wakk³l] (ቀረፀ፣ጠረበ፣ኣበጀ) carve ዎጌሺ ዎምበር ዪከሎ:: (ኣናጢው ወንበር ኣበጀ::) The carpenter carved a stool.",
ኣዘዘ,ዪዘዞ,order,"ዪዘዞ /yizz#zo/ ግ/v. [yizzëzu, «z«z, woz«z] (ኣዘዘ) order, command ጄኔራሊ የሰራዊተው ""ለትጀ ተከለትም"" ባለም ዪዘዞ፡፡ (ጄኔራሉ ""ለውጊያ ተዘጋጁ"" ብሎ ሰራዊቱን ኣዘዘ፡፡) The general commanded his army to be ready for combat. ",
,ዪዘዞ,command ,"ዪዘዞ /yizz#zo/ ግ/v. [yizzëzu, «z«z, woz«z] (ኣዘዘ) order, command ጄኔራሊ የሰራዊተው ""ለትጀ ተከለትም"" ባለም ዪዘዞ፡፡ (ጄኔራሉ ""ለውጊያ ተዘጋጁ"" ብሎ ሰራዊቱን ኣዘዘ፡፡) The general commanded his army to be ready for combat. ",
ያዘ,ዪዞ,catch,"ዪዞ /yizzo/ ግ/v. [yizu, yiz, wowiz] (ያዘ) catch, hold ነብሴ ደብተረው ዪዘም ትምርት ጌ ኣለፎ፡፡ (ነፍሴ ደብተሮቹን ይዞ ትምህርት ቤት ሄደ፡፡) Nefse got his exercise books and went to school.",
,ዪዞ,hold,"ዪዞ /yizzo/ ግ/v. [yizu, yiz, wowiz] (ያዘ) catch, hold ነብሴ ደብተረው ዪዘም ትምርት ጌ ኣለፎ፡፡ (ነፍሴ ደብተሮቹን ይዞ ትምህርት ቤት ሄደ፡፡) Nefse got his exercise books and went to school.",
,ዪደቦ,,ዪደቦ /yidd«bo/ ተመልከት see መካው m#kkaw,
ኣደነ,ዪደኖ,hunt,"ዪደኖ /yidd#no/ ግ/v. [yiddënu, add³n, wadd³n] (ኣደነ) hunt ዘጓሪ ድኩላ ዪደኖ፡፡ (ነብሩ ድኩላ ኣደነ፡፡) The leopard hunted for a bush buck. ",
,ዪጋ ,,ዪጋ /yiga/ ተመልከት see ኢጋ iga,
ኣጠረ,ዪጠሮ,fence in,"ዪጠሮ /yit't'#ro/ ግ/v. [yit't'ëru, «t'«r, wot'«r] (ኣጠረ {ኣጥርን}) fence in, build a fence ኳ የጌኋን ዙራ ኣጥር ዪጠሮ፡፡ (እሱ የቤቱን ዙሪያ ኣጥር ኣጠረ፡፡) He fenced all the space around his house.",
,ዪፋ,,ዪፋ/yiffa/ ተመልከት see ኢፋ iffa,
ፊት,ዪፍት,face,ዪፍት1 /yift/ ስ/n. (ፊት {የሰው ወይም የእንስሳ}) face (human or animal) የሰብ ዪፍት (የሰው ፊት) the human face,
በፊት,ዪፍት,before,ዪፍት2 /yift/ ተ.ግ/adv. (በፊት፣ቅድም) before ተዝናቢ ዪፍት ሰላኖ:: (ከዝናቡ በፊት ደረስን::) We reached there before the rain started.,
ፊት ለፊት,ዪፍት ሊፍት ,in front of,ዪፍት ሊፍት /yift lift/ ተ.ግ/adv. (ፊት ለፊት) in front of ፍይላሊ በከብቲ ዪፍት ሊፍት ዘግ ባልሙን፡፡ (ፍየሎቹ ከከብቶቹ ፊት ለፊት ተሰማሩ፡፡) The goats grazed in front of the cattle.,
ፊት ፊት,ዪፍትዪፍት,front position,ዪፍትዪፍት /yiftyift/ ተ.ግ/adv. (ፊት ፊት) be or walk at a front position ጉርዚ ተክነምጐይ ዪፍትዪፍት ኣለፎ፡፡ (ሽማግሌው ከእነሱ ጋር ፊት ፊት ተራመዱ፡፡) The old man walked in front of them.,
,ያለፌት ,,ያለፌት /yal#fet/ ተመልከት see ኣለፌት al#fet,
,ያላለዚ,,ያላለዚ /yalall#zi/ ተመልከት see ኣላለዚ alall#zi,
የመሬት ግብር,ያማራ ኧዳ ,tribute,"ያማራ ኧዳ /yamara «da/ ስ/n./ጥንታዊ ቃል/arch. (የመሬት ግብር {ለመንግስት የሚከፈል}) tribute, tax",
,ያማራ ኧዳ ,tax,"ያማራ ኧዳ /yamara «da/ ስ/n./ጥንታዊ ቃል/arch. (የመሬት ግብር {ለመንግስት የሚከፈል}) tribute, tax",
,ያራሪጫ,,ያራሪጫ /yararič'č'a/ ተመልከት see ኣራሪጫ ararič'č'a,
,ያንቆ መንክሽት,,ያንቆ መንክሽት /yank'o m«nkëšt/ ተመልከት see ኧቡር #bbur,
ጥራጥሬ,ያዎርድቦ,after meal,"ያዎርድቦ /yaword$bbo/ ስ/n. (ጥራጥሬ {ምግብ ከተበላ በኋላ በተከታይነት የሚቀርብ}) roasted beans (eaten after meal) ከሸት በላነም ያዎርድቦ ቆለ ኣጨኖ፡፡ (ምሳ ከበላን በኋላ በተከታይነት ቆሎ በላን፡፡) We ate ""k'ol#"" as a second course after lunch.   ",
,ያዮ በታ ,,ያዮ በታ /yayyo b#ta/ ተመልከት see በተት1 b«tt«t ,
ከእናት የሚወለድ,ያዮደሌ,maternal half,ያዮደሌ /yayyod#le/ ስ/n. (ከእናት የሚወለድ /የምትወለድ/ ወንድም ወይም እህት) maternal half brother or sister  ,
ኣቤት,ዬ,say yes,"ዬ /ye/ ስ/n. (ኣቤት) say yes, response to a call ባዪ ዪጠሮጐይ ""ዬ!"" ባሎ፡፡ (ልጁ ሲጠራ ""ኣቤት"" ኣለ፡፡) The boy answered ""yes!"" when his name was called out.",
ይሁን,ዬሁን,yes,"ዬሁን /yehun/ ስ/n. (ይሁን፣እሺ) yes, all right ጐሺ የላኩቃይ ""ዬሁን"" ባለም ታዘዞ፡፡ (ልጁ የተላከውን ""እሺ"" ብሎ ታዘዘ፡፡) The boy said ""yes"" when he was ordered to do sth. ",
እሺ,ዬሁን,all right,"ዬሁን /yehun/ ስ/n. (ይሁን፣እሺ) yes, all right ጐሺ የላኩቃይ ""ዬሁን"" ባለም ታዘዞ፡፡ (ልጁ የተላከውን ""እሺ"" ብሎ ታዘዘ፡፡) The boy said ""yes"" when he was ordered to do sth. ",
